Num,target,statement,classification,rationale
1,Pro,All AADHAR-based applications would be accessible through post offices.,Pro,"This statement describes a government initiative to expand access to services through post offices, presented as a positive development."
2,Pro,"In this New Year full of aspirations and hope, I welcome you to the Joint Sitting of the Two Houses of the Parliament with the belief that your deliberations will be productive and useful.",Pro,"The statement uses positive and hopeful language ('aspirations and hope', 'productive and useful') to endorse the parliamentary process and the government's legislative agenda."
3,Anti,"Making Aadhaar mandatory for availing subsidies was resulting in exclusion of beneficiaries and the government cannot claim to have saved huge subsidies by this, he said.",Anti,"The statement directly criticizes the government's Aadhaar policy, highlighting its negative impact ('exclusion of beneficiaries') and disputing government claims of savings."
4,Pro,The Unique Identity Authority of India has been roped in to connect with mobile manufacturers to allow Aadhaar-enabled banking transactions.,Neutral,"This statement reports a collaboration between UIDAI and mobile manufacturers factually, without any evaluative language."
5,Anti,The UIDAI has also sought technical details on how access was gained for the National Social Assistance Programme (NSAP) site -- one of the four portals where the alleged leak happened.,Neutral,"It describes a procedural action taken by a government agency (UIDAI) in response to an alleged data leak, without passing judgment on the agency or the incident."
6,Pro,Nearly 15-16 lakh biometric devices are currently being used for Aadhaar authentication across the country.,Neutral,The statement provides a statistic about the scale of Aadhaar's infrastructure without any supportive or critical commentary.
7,Pro,"Only 'registered devices' that incorporate the new specifications will be allowed to perform Aadhaar authentication after September 30, 2017.",Neutral,"This is a factual statement about a regulatory change or deadline related to Aadhaar security, presented without bias."
8,Anti,"We found that even after we ordered the shutting down of some unauthorised websites, some new websites had come up.",Neutral,The statement describes an ongoing challenge faced by an authority in controlling unauthorized websites. It is a factual admission of a problem without being overtly critical or supportive of the handling of it.
9,Neutral,"Over the next six months, we will continue to see an average of 1.5 crore enrollments every month, after which it will decline.",Neutral,"This statement is a factual projection of Aadhaar enrollment numbers, lacking any emotional or political coloring."
10,Neutral,We are going to say that in India only registered devices will work (for Aadhaar authentication).,Neutral,"This is a direct statement of a future policy decision by an authority, presented as a fact without further justification or praise."
